Section_Name,Thread_Title,Thread_ID,Thread_Views_Count,Thread_Reply_Count,Thread_Participants_Count,Sender_Name,Sender_ID,Receiver_ID,Receiver_Name,Date,Time,Content,Order
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8,Tweedy,post-1043906,,,"May 12, 2023",4:47 PM,Hi All. I need some advice on what you consider the best polisher / buffer and which are the best pads and compounds to use for the best shine etc without swirls. I tried to read reviews on line but most are “sponsored” so they are all over the map for recommendations. I also have a Corvette and that forum suggests either Griot’s Garage or Porter Cable for polishers?? Any help would be appreciated. Happy holidays to all.,1
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8, Enzo`s Atlanta,post-1043910,,,"Dec 18, 2022",2:55 PM,Griots garage is a bunch of marked up products repackaged...Total ripoff IMO...I would roll with the Porter product..J,2
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8,SPYDER13,post-1043932,,,"Dec 19, 2022",7:20 AM,I use 2 porter & cable polishers.. with lake country pads... use Kamikaze polishes & other products out of Japan .. I buy online from supplier in Calgary,3
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8,PoorboyGT,post-1043939,,,"Dec 19, 2022",8:51 AM,Meguires pretty good stuff.,5
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8,Alan14sport,post-1045719,,,"Jan 12, 2023",1:12 AM,"Rupes polishers are top notch IMO along with their range of pads. Meguires compounds are my go to for any type of paint correction/polishing, just make sure to use a clay bar with a detail spray/lubricant before polishing any panel. Just my thoughts!",7
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8,tpacosian,post-1053141,#post-1045719,Alan14sport,"May 12, 2023",7:54 AM,Jim White from White Details recommends Rules and other products for these cars and their finicky paint. I found this the case with the Blu Inchiostro color on my 17 GT.,9
Maserati Care & Detailing,Polishing Advice,130996,1380,9,8,Sock Tucker,post-1053167,#post-1053141,tpacosian,"May 12, 2023",4:47 PM,Rupes*,10
Maserati Care & Detailing,Granturismo headlight question,129413,2018,4,5,Adam rodriguez,post-1029330,,,"Apr 22, 2022",10:05 PM,"Hi All,",1
Maserati Care & Detailing,Granturismo headlight question,129413,2018,4,5, Enzo`s Atlanta,post-1029332,,,"Apr 22, 2022",12:34 AM,You are off to a bad start..That is about the most ass backwards questions ever asked on here.. Jason,2
Maserati Care & Detailing,Granturismo headlight question,129413,2018,4,5,timado404,post-1029359,#post-1029341,lilredpo1,"Apr 22, 2022",2:23 PM,And that's a pretty good trip! ,4
Maserati Care & Detailing,Granturismo headlight question,129413,2018,4,5,Jdubbya,post-1029380,,,"Apr 22, 2022",10:05 PM,Did they ever come with non-HID headlights?,5
Maserati Care & Detailing,Clear bra thoughts,128389,1768,4,3,Clubster,post-1019760,,,"Jul 28, 2022",2:01 PM,"I have a QP and will be getting a ceramic coat done to it by my detailer but before he does that I was trying to decide if a clear bra is worth it? I have to put the bra on before ceramic. My concern is fine seams, yellowing and possibly it looking different where its applied vs where its not when looking at car in direct sunlight. Its a black car which scares me. The film also seems like they has an expiration date to it like, up to 10 years. My gut says just ceramic. Anyone with suggestions?",1
Maserati Care & Detailing,Clear bra thoughts,128389,1768,4,3,Clubster,post-1019773,,,"Nov 30, 2021",2:55 PM,Thanks for reply... my gut says just ceramic so will run with that. Getting the bra was also going to put the car more out of service too by dropping it off ect. Much less work for me too.,3
